E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
-42,-255,-135,-228,52,-93,-269,-365,-123,-266,92,79
-31,-259,-133,-215,61,-75,-253,-348,-124,-273,88,57
-23,-262,-126,-218,64,-61,-216,-337,-134,-266,78,36
-16,-265,-121,-210,64,-62,-177,-332,-139,-256,64,20
-11,-267,-115,-217,73,-67,-143,-334,-136,-244,51,10
-10,-265,-111,-222,79,-76,-118,-336,-128,-242,37,3
-14,-261,-119,-216,77,-77,-108,-329,-122,-250,19,1
-15,-256,-110,-198,83,-67,-83,-318,-116,-246,0,3
-19,-249,-117,-179,77,-78,-66,-317,-112,-256,-11,7
-30,-238,-124,-167,85,-84,-51,-312,-110,-254,-35,14
-20,-230,-137,-163,87,-100,-44,-314,-99,-253,-49,15
-19,-227,-147,-167,87,-116,-38,-293,-85,-253,-70,17
-18,-222,-150,-177,85,-127,-26,-274,-78,-260,-83,16
-22,-220,-155,-196,86,-142,-9,-259,-64,-271,-79,3
-26,-234,-164,-218,91,-151,6,-250,-62,-283,-68,2
-28,-241,-172,-230,97,-155,19,-254,-55,-301,-57,-15
-24,-264,-175,-233,94,-160,21,-268,-52,-320,-50,-31
-17,-289,-179,-228,80,-168,20,-283,-46,-338,-44,-42
-10,-309,-187,-232,65,-172,22,-285,-44,-342,-43,-51
-1,-323,-194,-247,61,-176,32,-272,-48,-341,-46,-57
8,-326,-203,-254,66,-185,37,-250,-49,-333,-59,-52
14,-323,-212,-267,74,-195,37,-236,-50,-326,-76,-44
10,-325,-218,-253,72,-206,30,-230,-45,-328,-88,-40
8,-329,-227,-244,60,-211,26,-225,-45,-329,-80,-42
11,-331,-243,-239,35,-219,23,-223,-51,-330,-55,-47
13,-329,-270,-240,10,-234,6,-223,-55,-331,-30,-43
18,-325,-273,-244,5,-233,-3,-226,-47,-317,-7,-30
24,-326,-281,-246,-12,-243,-25,-227,-37,-321,15,-15
17,-333,-283,-240,-7,-241,-46,-207,-31,-317,17,1
19,-337,-279,-231,-2,-242,-70,-200,-21,-311,29,11
5,-337,-272,-225,3,-251,-89,-181,-16,-299,25,15
1,-331,-263,-219,6,-266,-101,-178,-21,-284,13,12
6,-320,-254,-212,10,-268,-117,-179,-20,-272,4,-4
18,-328,-242,-204,5,-251,-129,-181,-34,-271,5,-5
27,-332,-233,-198,-5,-230,-138,-187,-34,-273,13,-17
28,-344,-226,-199,-10,-216,-139,-193,-27,-279,26,-26
28,-352,-220,-192,-14,-213,-138,-205,-19,-289,40,-33
16,-361,-219,-186,-12,-219,-144,-214,-9,-303,46,-41
2,-370,-213,-175,-3,-226,-152,-217,-3,-316,44,-49
-7,-378,-207,-154,4,-229,-154,-215,3,-324,40,-52
-4,-388,-195,-156,3,-232,-151,-212,5,-321,34,-51
3,-390,-187,-150,-5,-241,-146,-208,1,-312,29,-50
5,-380,-181,-160,0,-244,-140,-204,-7,-291,20,-50
1,-365,-179,-170,-1,-243,-135,-203,-18,-275,9,-52
-16,-352,-189,-175,-8,-233,-143,-201,-30,-271,-9,-52
-36,-344,-177,-166,-1,-201,-134,-208,-40,-254,-25,-45
-60,-337,-166,-159,-7,-182,-137,-223,-45,-252,-28,-35
-95,-331,-149,-154,1,-159,-145,-226,-46,-248,-44,-29
-108,-318,-132,-150,8,-144,-157,-245,-36,-250,-42,-32
-125,-304,-116,-144,12,-133,-173,-240,-25,-251,-50,-38
-141,-290,-108,-135,9,-122,-178,-231,-20,-254,-56,-41
-158,-278,-110,-126,-1,-115,-168,-209,-3,-256,-70,-51
-168,-282,-129,-126,-11,-112,-150,-187,-5,-257,-84,-40
-164,-274,-152,-132,-21,-116,-130,-174,-14,-255,-95,-37
-154,-279,-173,-144,-28,-119,-112,-172,-34,-258,-105,-34
-146,-285,-186,-147,-32,-113,-100,-174,-52,-264,-114,-33
-145,-288,-181,-151,-37,-95,-92,-170,-75,-274,-127,-35
-149,-287,-166,-153,-45,-70,-89,-163,-95,-283,-138,-38
-156,-280,-146,-142,-49,-49,-87,-151,-112,-288,-151,-39
-157,-267,-133,-145,-45,-34,-78,-141,-123,-289,-163,-42
-155,-256,-130,-138,-44,-28,-69,-133,-133,-285,-174,-49
-157,-251,-135,-139,-43,-20,-58,-125,-144,-267,-187,-61
-157,-256,-135,-137,-53,-25,-43,-128,-147,-246,-195,-79
-165,-274,-142,-134,-70,-44,-40,-138,-140,-235,-202,-97
-171,-291,-131,-126,-70,-47,-24,-155,-126,-217,-206,-108
-168,-297,-128,-109,-78,-57,-18,-180,-108,-223,-208,-117
-168,-280,-122,-94,-73,-53,-13,-190,-86,-224,-225,-131
-148,-258,-111,-81,-66,-50,-6,-210,-56,-226,-221,-144
-135,-248,-101,-70,-55,-49,-1,-211,-43,-225,-220,-141
-119,-248,-98,-65,-45,-52,-2,-222,-56,-219,-212,-124
-104,-254,-98,-71,-29,-59,-11,-233,-67,-208,-197,-111
-98,-277,-101,-83,-14,-71,-28,-250,-85,-201,-185,-77
-94,-278,-107,-98,-7,-88,-42,-267,-92,-204,-180,-59
-97,-283,-108,-105,-3,-105,-46,-273,-102,-201,-184,-47
-109,-277,-108,-101,1,-114,-45,-266,-114,-192,-191,-39
-126,-266,-100,-98,8,-106,-35,-252,-127,-183,-199,-34
-138,-248,-87,-98,13,-93,-22,-241,-135,-176,-207,-37
-145,-225,-74,-86,24,-77,-14,-236,-136,-164,-226,-45
-148,-203,-58,-83,40,-53,-17,-235,-137,-150,-244,-54
-149,-188,-52,-62,55,-26,-35,-229,-141,-141,-255,-56
-143,-177,-55,-47,73,-6,-61,-212,-139,-133,-254,-48
-132,-171,-57,-29,78,-6,-76,-190,-131,-128,-246,-36
-129,-172,-65,-12,71,-10,-97,-166,-123,-128,-236,-31
-127,-177,-54,1,72,3,-96,-149,-117,-107,-224,-34
-124,-180,-49,9,63,-4,-97,-137,-112,-97,-202,-47
-138,-174,-46,9,67,-4,-91,-115,-109,-80,-191,-59
-129,-162,-43,3,76,-9,-83,-112,-101,-62,-168,-62
-123,-155,-44,-4,86,-8,-77,-99,-93,-53,-160,-46
-114,-153,-45,-8,99,-3,-70,-99,-94,-47,-158,-24
-106,-152,-40,-10,101,2,-61,-98,-79,-42,-153,-18
-104,-159,-34,-10,92,3,-59,-94,-84,-39,-140,2
-100,-141,-27,-10,81,6,-63,-88,-99,-34,-128,15
-84,-126,-22,-11,72,12,-67,-76,-123,-24,-120,13
-64,-108,-16,-9,69,22,-65,-68,-147,-17,-116,-2
-50,-98,-10,-2,66,33,-55,-58,-164,-19,-121,-26
-40,-98,-2,9,59,40,-41,-56,-173,-24,-125,-47
-36,-99,-1,30,45,41,-29,-56,-175,-31,-131,-54
-33,-94,-6,31,35,34,-25,-53,-170,-39,-135,-45
-37,-85,-10,35,29,29,-30,-43,-160,-54,-145,-21
-41,-79,-4,28,36,31,-32,-25,-148,-61,-150,6
-44,-74,12,18,36,27,-18,-7,-142,-63,-145,15
-47,-73,11,8,27,20,-3,16,-138,-66,-142,9
-46,-79,15,-1,32,24,30,31,-137,-48,-136,-6
-46,-71,9,-9,23,20,48,29,-131,-41,-123,-18
-59,-51,6,-11,28,26,59,39,-122,-37,-127,-28
-38,-26,10,-5,34,20,69,44,-114,-33,-120,-40
-19,0,18,2,38,13,77,73,-113,-27,-122,-53
2,23,25,4,37,14,81,98,-116,-16,-125,-74
20,34,26,-3,37,21,84,119,-109,-1,-133,-104
37,27,20,-10,35,23,79,134,-117,16,-145,-106
57,47,13,-14,30,20,75,147,-123,20,-160,-112
68,64,13,-14,24,11,86,161,-130,24,-180,-109
64,82,18,-7,18,-3,115,170,-133,28,-198,-98
49,98,26,-5,10,-24,153,181,-138,27,-212,-86
34,105,32,-11,-2,-40,189,187,-139,26,-218,-80
26,103,35,-3,-14,-50,217,195,-132,27,-223,-89
29,89,36,-7,-17,-51,240,201,-117,36,-219,-100
33,76,27,3,-22,-42,250,206,-93,54,-206,-108
28,59,12,7,-19,-21,258,217,-66,74,-190,-112
25,47,-1,6,-16,-5,274,238,-46,85,-177,-112
27,41,-25,1,-17,1,284,257,-34,83,-180,-105
31,37,-25,1,3,21,312,256,-25,95,-197,-95
34,39,-21,8,11,25,328,235,-15,98,-205,-84
24,42,-2,28,22,29,332,234,-7,107,-215,-71
35,49,19,40,23,22,327,223,1,112,-201,-64
36,54,35,40,18,11,319,226,-2,119,-193,-58
35,61,52,39,7,0,311,225,-13,131,-179,-48
36,66,67,38,-5,-4,307,228,-6,143,-164,-44
39,57,84,44,-18,1,305,234,-8,149,-158,-22
42,64,91,54,-31,5,309,238,-5,151,-154,-12
37,64,91,61,-41,5,309,241,-2,151,-137,-1
30,68,84,67,-41,-3,304,243,8,156,-122,9
26,68,72,66,-37,-8,296,244,16,161,-119,17
21,69,53,68,-39,-5,289,244,16,156,-123,27
13,69,37,81,-45,9,283,246,16,142,-121,40
4,68,33,85,-51,33,280,252,17,128,-108,43
4,71,40,99,-60,64,274,255,26,116,-98,40
10,68,45,111,-68,102,264,256,40,105,-104,34
21,59,54,123,-83,121,256,249,55,87,-117,26
37,46,43,133,-103,111,234,244,68,55,-134,22
50,37,46,145,-104,97,221,240,76,42,-151,28
57,31,39,157,-119,60,202,238,78,29,-159,38
48,23,37,159,-117,31,190,248,72,34,-180,46
59,18,41,155,-112,11,185,242,71,50,-184,41
54,5,49,149,-101,-1,182,246,66,65,-190,34
42,-13,61,144,-90,-8,179,246,55,76,-191,34
27,-31,70,140,-80,-18,172,245,58,83,-188,26
14,-56,74,145,-72,-25,161,240,49,81,-187,41
-3,-58,72,153,-64,-28,141,232,40,69,-186,45
-15,-65,62,164,-59,-31,120,220,26,48,-180,51
-20,-70,52,170,-62,-30,109,202,16,28,-164,50
-24,-76,42,162,-69,-24,108,186,10,15,-143,44
-23,-77,31,143,-67,-20,105,172,2,8,-118,36
-16,-74,20,136,-56,-23,97,160,-7,3,-103,29
-2,-72,14,124,-39,-25,89,147,-5,-1,-99,20
12,-73,8,134,-32,-30,76,137,2,-21,-99,13
25,-76,3,145,-29,-31,64,130,4,-37,-99,20
34,-83,3,160,-31,-42,57,127,4,-39,-93,29
40,-84,-14,167,-40,-58,32,133,1,-30,-92,36
40,-77,-13,163,-27,-58,27,136,0,5,-98,43
43,-67,-23,139,-34,-69,11,138,5,28,-90,56
29,-61,-36,111,-46,-71,4,157,10,50,-97,67
32,-56,-43,91,-58,-83,3,165,10,75,-87,69
28,-55,-42,74,-64,-99,9,179,0,105,-86,64
27,-53,-34,58,-58,-109,14,180,-23,130,-82,57
25,-47,-24,42,-43,-117,15,171,-24,146,-80,35
24,-58,-11,37,-20,-124,13,154,-30,147,-82,28
22,-55,3,37,-1,-133,18,136,-37,136,-79,4
19,-55,11,33,13,-136,34,120,-51,125,-68,-23
17,-46,7,31,23,-134,62,103,-73,116,-51,-36
19,-45,-4,23,33,-130,90,86,-88,100,-34,-31
16,-55,-14,12,37,-124,103,72,-91,73,-19,-21
6,-68,-22,10,34,-111,102,65,-90,42,-5,-15
-6,-87,-26,-13,28,-95,97,60,-92,20,5,-14
-15,-106,-28,-25,20,-81,88,50,-97,2,2,-14
-23,-132,-28,-33,22,-61,78,38,-98,-9,-12,-7
-23,-150,-20,-27,18,-50,77,30,-93,-16,-29,1
-24,-155,-29,-12,4,-52,60,29,-82,-29,-50,13
-29,-153,-26,1,3,-45,61,26,-73,-19,-69,11
-27,-147,-39,5,-7,-56,60,24,-60,-25,-70,14
-30,-144,-60,1,-4,-58,63,44,-52,-40,-78,24
-7,-145,-74,-9,6,-58,70,54,-43,-65,-72,34
5,-144,-73,-22,21,-50,83,68,-38,-88,-75,41
10,-143,-62,-30,27,-41,94,77,-44,-108,-77,47
15,-135,-50,-26,14,-31,101,88,-33,-125,-77,36
17,-136,-44,-12,-7,-27,113,99,-32,-136,-68,34
18,-117,-46,10,-14,-38,127,101,-23,-140,-58,13
14,-114,-57,29,-7,-62,146,96,-12,-144,-55,-12
8,-114,-66,52,1,-92,162,85,-1,-158,-57,-38
4,-109,-69,62,5,-110,178,76,4,-163,-69,-62
-2,-95,-65,58,0,-115,179,69,4,-159,-86,-77
-13,-84,-64,59,-8,-111,167,68,-1,-143,-106,-92
-17,-82,-63,51,-17,-109,152,70,-8,-129,-123,-102
-7,-81,-70,57,-23,-113,129,74,-9,-126,-135,-114
13,-83,-85,66,-24,-113,101,77,-2,-130,-141,-122
35,-88,-89,82,-30,-116,90,76,11,-132,-145,-126
48,-88,-100,102,-44,-129,82,71,29,-138,-148,-120
53,-76,-90,118,-32,-125,98,57,56,-119,-150,-104
47,-59,-88,129,-22,-135,102,41,83,-113,-139,-84
29,-42,-83,138,-5,-145,95,53,91,-106,-137,-61
25,-31,-80,144,3,-156,96,59,86,-95,-118,-47
14,-26,-81,143,1,-164,110,80,78,-84,-104,-41
8,-24,-88,144,-4,-172,133,86,65,-71,-92,-32
6,-19,-100,149,-12,-178,147,81,77,-60,-84,-35
8,-24,-110,155,-26,-181,162,75,78,-53,-78,-30
8,-13,-117,165,-41,-184,182,74,72,-54,-81,-37
11,-9,-119,169,-53,-181,201,74,50,-50,-92,-44
15,-4,-122,168,-55,-183,211,77,30,-45,-106,-50
18,1,-126,160,-49,-186,209,77,19,-41,-119,-55
24,7,-130,142,-41,-195,198,73,21,-43,-122,-61
26,19,-132,140,-37,-207,182,63,31,-49,-111,-56
22,30,-131,135,-38,-214,167,40,40,-60,-90,-41
16,42,-137,144,-46,-216,160,12,42,-72,-64,-34
17,58,-150,149,-52,-203,157,-12,37,-80,-42,-32
26,75,-153,150,-60,-187,164,-24,34,-88,-24,-30
32,90,-157,157,-72,-185,164,-18,33,-99,-25,-20
36,102,-135,166,-64,-177,183,-18,28,-89,-30,-5
42,108,-120,175,-69,-188,197,-30,17,-89,-23,6
37,117,-119,177,-69,-189,216,-33,1,-88,-33,13
55,125,-126,167,-66,-188,232,-57,-6,-86,-31,11
61,127,-134,155,-57,-183,246,-69,-4,-91,-31,13
69,129,-142,150,-42,-176,258,-73,-7,-95,-32,24
75,141,-147,160,-29,-167,263,-73,10,-97,-40,20
75,138,-138,175,-23,-156,263,-68,9,-97,-44,27
68,142,-120,187,-21,-132,257,-66,-2,-99,-40,18
55,130,-99,193,-17,-100,244,-66,-28,-102,-33,8
46,123,-80,199,-14,-75,220,-70,-57,-106,-30,3
45,127,-68,196,-18,-54,203,-68,-77,-108,-40,0
48,130,-68,185,-23,-45,197,-63,-86,-106,-59,-2
50,139,-76,189,-29,-43,194,-57,-86,-97,-79,-6
59,147,-85,178,-28,-46,200,-52,-78,-81,-96,-12
76,157,-95,179,-29,-43,207,-48,-64,-82,-105,-20
89,163,-94,178,-28,-27,214,-42,-51,-93,-107,-26
95,157,-77,173,-39,-17,224,-37,-42,-101,-95,-27
88,142,-71,166,-62,-33,217,-27,-43,-114,-86,-28
75,132,-59,157,-63,-41,226,-31,-48,-103,-81,-26
69,137,-59,149,-70,-60,231,-42,-52,-94,-68,-20
52,154,-62,148,-67,-69,238,-35,-58,-87,-71,-6
53,171,-69,148,-64,-65,249,-44,-60,-88,-67,-5
49,175,-71,152,-66,-57,265,-49,-66,-98,-67,-12
53,164,-66,147,-74,-49,279,-57,-82,-113,-61,-17
58,160,-61,130,-88,-51,291,-64,-76,-122,-52,-33
69,150,-59,114,-103,-58,294,-69,-71,-119,-43,-31
81,156,-62,107,-114,-59,285,-70,-58,-107,-40,-37
91,147,-63,111,-124,-54,269,-65,-38,-91,-43,-43
95,133,-62,131,-134,-50,251,-57,-26,-71,-46,-40
96,125,-55,143,-141,-46,243,-51,-19,-47,-46,-23
97,120,-44,139,-145,-42,247,-45,-16,-26,-50,0
92,111,-29,137,-146,-32,254,-47,-10,-14,-60,27
90,101,-11,110,-150,-10,259,-51,-5,-5,-68,49
92,98,-3,93,-161,8,251,-56,7,-2,-64,63
95,103,-3,80,-168,32,243,-60,22,3,-53,64
96,113,-1,72,-174,48,251,-67,31,10,-32,56
91,123,-12,64,-173,55,247,-65,40,12,-19,48
89,127,-7,57,-149,80,256,-65,43,28,-19,41
99,125,-10,45,-136,91,253,-67,39,32,-15,36
100,117,-14,21,-128,103,243,-48,31,38,-32,41
124,108,-18,-3,-129,109,225,-41,22,50,-39,51
141,93,-17,-23,-126,116,204,-28,13,67,-40,64
155,81,-15,-33,-118,125,184,-21,-9,76,-30,82
164,86,-19,-39,-113,136,172,-14,-3,76,-17,83
161,87,-23,-41,-114,144,174,-12,-7,70,-4,98
152,104,-26,-40,-122,146,188,-18,-14,66,7,93
144,110,-31,-43,-132,143,201,-22,-14,65,19,92
146,112,-33,-43,-142,141,200,-27,-4,65,29,99
150,112,-31,-50,-140,151,187,-29,9,68,34,114
147,124,-25,-60,-127,163,161,-27,25,77,33,128
134,148,-17,-51,-109,172,133,-23,37,88,29,133
110,174,-9,-60,-89,178,114,-17,45,103,30,128
